cores_algo,cpu_algo,gpu_algo,mem_algo,bs_algo,algo_time,algo_power,power_budget,num_pwds,visited_dim,tries,time_budget,arr_rate,soln_algo,cores_optimal,cpu_optimal,gpu_optimal,mem_optimal,bs_optimal,optim_time,optim_power,soln_optimal
12.0,2201600.0,1300500000.0,3199000000.0,1.0,1.8947359919548037,31.41,50.0,10.0,4.0,10.0,0.13,55.0,1.0,12.0,2201600.0,1300500000.0,3199000000.0,1.0,1.8947359919548037,31.41,1.0
4.0,1344000.0,726750000.0,2133000000.0,1.0,2.8775999546051025,23.456,10.0,10.0,4.0,10.0,0.14,55.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4.0,1344000.0,726750000.0,2133000000.0,1.0,2.8775999546051025,23.456,11.0,10.0,4.0,10.0,0.14,55.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4.0,1344000.0,726750000.0,2133000000.0,1.0,2.8775999546051025,23.456,12.0,10.0,4.0,10.0,0.14,55.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4.0,1344000.0,726750000.0,2133000000.0,1.0,2.8775999546051025,23.456,13.0,10.0,4.0,10.0,0.14,55.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
12.0,422400.0,114750000.0,665600000.0,1.0,11.383920192718506,13.59,14.0,10.0,4.0,10.0,0.14,55.0,1.0,12.0,422400.0,522750000.0,665600000.0,1.0,8.15771198272705,13.994,1.0
8.0,422400.0,114750000.0,3199000000.0,1.0,11.3645920753479,14.911,15.0,10.0,4.0,10.0,0.14,55.0,1.0,4.0,729600.0,522750000.0,665600000.0,4.0,5.90067195892334,14.808,1.0
8.0,1344000.0,114750000.0,2133000000.0,1.0,8.46068811416626,15.313,16.0,10.0,4.0,10.0,0.14,55.0,1.0,12.0,1651200.0,522750000.0,665600000.0,4.0,4.109647989273071,15.815,1.0
8.0,1344000.0,114750000.0,2133000000.0,1.0,8.46068811416626,15.313,17.0,10.0,4.0,10.0,0.14,55.0,1.0,4.0,1958400.0,726750000.0,665600000.0,4.0,3.754448056221008,16.116,1.0
8.0,1344000.0,726750000.0,665600000.0,1.0,4.723439931869507,17.023,18.0,10.0,4.0,10.0,0.14,55.0,1.0,4.0,1344000.0,522750000.0,2133000000.0,4.0,3.4078400135040283,17.627,1.0
8.0,1344000.0,726750000.0,665600000.0,1.0,4.723439931869507,17.023,19.0,10.0,4.0,10.0,0.14,55.0,1.0,8.0,1651200.0,726750000.0,2133000000.0,4.0,2.7279999256134038,18.027,1.0
8.0,1344000.0,726750000.0,665600000.0,1.0,4.723439931869507,17.023,20.0,10.0,4.0,10.0,0.14,55.0,1.0,8.0,1651200.0,726750000.0,2133000000.0,4.0,2.7279999256134038,18.027,1.0
8.0,729600.0,1134750000.0,2133000000.0,1.0,4.2562878131866455,20.737,21.0,11.0,4.0,11.0,0.14,55.0,1.0,4.0,2201600.0,522750000.0,2133000000.0,4.0,2.660096049308777,20.746,1.0
8.0,729600.0,1134750000.0,2133000000.0,1.0,4.2562878131866455,20.737,22.0,11.0,4.0,11.0,0.14,55.0,1.0,4.0,1958400.0,726750000.0,2133000000.0,4.0,2.462239980697632,21.15,1.0
8.0,1036800.0,1134750000.0,2133000000.0,1.0,3.341055989265442,22.352,23.0,11.0,4.0,11.0,0.14,55.0,1.0,8.0,2201600.0,726750000.0,2133000000.0,4.0,2.3234879970550537,22.557,1.0
8.0,1344000.0,1300500000.0,2133000000.0,1.0,2.857327938079834,21.245,24.0,11.0,4.0,11.0,0.14,55.0,1.0,8.0,1958400.0,1300500000.0,2133000000.0,4.0,2.225343942642212,23.051,1.0
8.0,1344000.0,1300500000.0,2133000000.0,1.0,2.857327938079834,21.245,25.0,11.0,4.0,11.0,0.14,55.0,1.0,8.0,2201600.0,930750000.0,2133000000.0,4.0,2.18012809753418,24.473,1.0
8.0,1344000.0,1300500000.0,2133000000.0,1.0,2.857327938079834,21.245,26.0,11.0,4.0,11.0,0.14,55.0,1.0,8.0,2201600.0,930750000.0,3199000000.0,1.0,2.115936040878296,25.978,1.0
8.0,1958400.0,726750000.0,2133000000.0,1.0,2.2282400131225586,26.982,27.0,10.0,4.0,10.0,0.14,55.0,1.0,12.0,2201600.0,930750000.0,3199000000.0,4.0,2.0701279640197754,26.884,1.0
8.0,1958400.0,726750000.0,2133000000.0,1.0,2.2282400131225586,26.982,28.0,10.0,4.0,10.0,0.14,55.0,1.0,4.0,2201600.0,1134750000.0,3199000000.0,1.0,1.95687997341156,27.689,1.0
8.0,2201600.0,1134750000.0,3199000000.0,1.0,2.028864026069641,28.486,29.0,10.0,4.0,10.0,0.14,55.0,1.0,4.0,2201600.0,1134750000.0,3199000000.0,1.0,1.95687997341156,27.689,1.0
8.0,2201600.0,1134750000.0,3199000000.0,1.0,2.028864026069641,28.486,30.0,10.0,4.0,10.0,0.14,55.0,1.0,4.0,2201600.0,1134750000.0,3199000000.0,1.0,1.95687997341156,27.689,1.0
8.0,2201600.0,1134750000.0,3199000000.0,1.0,2.028864026069641,28.486,31.0,10.0,4.0,10.0,0.14,55.0,1.0,4.0,2201600.0,1134750000.0,3199000000.0,1.0,1.95687997341156,27.689,1.0
12.0,2201600.0,1300500000.0,3199000000.0,1.0,1.8947359919548037,31.41,32.0,10.0,4.0,10.0,0.14,55.0,1.0,12.0,2201600.0,1300500000.0,3199000000.0,1.0,1.8947359919548037,31.41,1.0
12.0,2201600.0,1300500000.0,3199000000.0,1.0,1.8947359919548037,31.41,33.0,10.0,4.0,10.0,0.14,55.0,1.0,12.0,2201600.0,1300500000.0,3199000000.0,1.0,1.8947359919548037,31.41,1.0
12.0,2201600.0,1300500000.0,3199000000.0,1.0,1.8947359919548037,31.41,34.0,10.0,4.0,10.0,0.14,55.0,1.0,12.0,2201600.0,1300500000.0,3199000000.0,1.0,1.8947359919548037,31.41,1.0
12.0,2201600.0,1300500000.0,3199000000.0,1.0,1.8947359919548037,31.41,35.0,10.0,4.0,10.0,0.14,55.0,1.0,12.0,2201600.0,1300500000.0,3199000000.0,1.0,1.8947359919548037,31.41,1.0
12.0,2201600.0,1300500000.0,3199000000.0,1.0,1.8947359919548037,31.41,36.0,10.0,4.0,10.0,0.14,55.0,1.0,12.0,2201600.0,1300500000.0,3199000000.0,1.0,1.8947359919548037,31.41,1.0
12.0,2201600.0,1300500000.0,3199000000.0,1.0,1.8947359919548037,31.41,37.0,10.0,4.0,10.0,0.14,55.0,1.0,12.0,2201600.0,1300500000.0,3199000000.0,1.0,1.8947359919548037,31.41,1.0
12.0,2201600.0,1300500000.0,3199000000.0,1.0,1.8947359919548037,31.41,38.0,10.0,4.0,10.0,0.14,55.0,1.0,12.0,2201600.0,1300500000.0,3199000000.0,1.0,1.8947359919548037,31.41,1.0
12.0,2201600.0,1300500000.0,3199000000.0,1.0,1.8947359919548037,31.41,39.0,10.0,4.0,10.0,0.14,55.0,1.0,12.0,2201600.0,1300500000.0,3199000000.0,1.0,1.8947359919548037,31.41,1.0
12.0,2201600.0,1300500000.0,3199000000.0,1.0,1.8947359919548037,31.41,40.0,10.0,4.0,10.0,0.14,55.0,1.0,12.0,2201600.0,1300500000.0,3199000000.0,1.0,1.8947359919548037,31.41,1.0
12.0,2201600.0,1300500000.0,3199000000.0,1.0,1.8947359919548037,31.41,41.0,10.0,4.0,10.0,0.14,55.0,1.0,12.0,2201600.0,1300500000.0,3199000000.0,1.0,1.8947359919548037,31.41,1.0
12.0,2201600.0,1300500000.0,3199000000.0,1.0,1.8947359919548037,31.41,42.0,10.0,4.0,10.0,0.14,55.0,1.0,12.0,2201600.0,1300500000.0,3199000000.0,1.0,1.8947359919548037,31.41,1.0
12.0,2201600.0,1300500000.0,3199000000.0,1.0,1.8947359919548037,31.41,43.0,10.0,4.0,10.0,0.14,55.0,1.0,12.0,2201600.0,1300500000.0,3199000000.0,1.0,1.8947359919548037,31.41,1.0
12.0,2201600.0,1300500000.0,3199000000.0,1.0,1.8947359919548037,31.41,44.0,10.0,4.0,10.0,0.14,55.0,1.0,12.0,2201600.0,1300500000.0,3199000000.0,1.0,1.8947359919548037,31.41,1.0
12.0,2201600.0,1300500000.0,3199000000.0,1.0,1.8947359919548037,31.41,45.0,10.0,4.0,10.0,0.14,55.0,1.0,12.0,2201600.0,1300500000.0,3199000000.0,1.0,1.8947359919548037,31.41,1.0
12.0,2201600.0,1300500000.0,3199000000.0,1.0,1.8947359919548037,31.41,46.0,10.0,4.0,10.0,0.14,55.0,1.0,12.0,2201600.0,1300500000.0,3199000000.0,1.0,1.8947359919548037,31.41,1.0
12.0,2201600.0,1300500000.0,3199000000.0,1.0,1.8947359919548037,31.41,47.0,10.0,4.0,10.0,0.14,55.0,1.0,12.0,2201600.0,1300500000.0,3199000000.0,1.0,1.8947359919548037,31.41,1.0
12.0,2201600.0,1300500000.0,3199000000.0,1.0,1.8947359919548037,31.41,48.0,10.0,4.0,10.0,0.14,55.0,1.0,12.0,2201600.0,1300500000.0,3199000000.0,1.0,1.8947359919548037,31.41,1.0
12.0,2201600.0,1300500000.0,3199000000.0,1.0,1.8947359919548037,31.41,49.0,10.0,4.0,10.0,0.14,55.0,1.0,12.0,2201600.0,1300500000.0,3199000000.0,1.0,1.8947359919548037,31.41,1.0
12.0,2201600.0,1300500000.0,3199000000.0,1.0,1.8947359919548037,31.41,50.0,10.0,4.0,10.0,0.14,55.0,1.0,12.0,2201600.0,1300500000.0,3199000000.0,1.0,1.8947359919548037,31.41,1.0
4.0,1344000.0,726750000.0,2133000000.0,1.0,2.8775999546051025,23.456,10.0,10.0,4.0,10.0,0.15,55.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4.0,1344000.0,726750000.0,2133000000.0,1.0,2.8775999546051025,23.456,11.0,10.0,4.0,10.0,0.15,55.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4.0,1344000.0,726750000.0,2133000000.0,1.0,2.8775999546051025,23.456,12.0,10.0,4.0,10.0,0.15,55.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4.0,1344000.0,726750000.0,2133000000.0,1.0,2.8775999546051025,23.456,13.0,10.0,4.0,10.0,0.15,55.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
12.0,422400.0,114750000.0,665600000.0,1.0,11.383920192718506,13.59,14.0,10.0,4.0,10.0,0.15,55.0,1.0,12.0,422400.0,522750000.0,665600000.0,1.0,8.15771198272705,13.994,1.0
8.0,422400.0,114750000.0,3199000000.0,1.0,11.3645920753479,14.911,15.0,10.0,4.0,10.0,0.15,55.0,1.0,4.0,729600.0,522750000.0,665600000.0,4.0,5.90067195892334,14.808,1.0
8.0,1344000.0,114750000.0,2133000000.0,1.0,8.46068811416626,15.313,16.0,10.0,4.0,10.0,0.15,55.0,1.0,12.0,1651200.0,522750000.0,665600000.0,4.0,4.109647989273071,15.815,1.0
8.0,1344000.0,114750000.0,2133000000.0,1.0,8.46068811416626,15.313,17.0,10.0,4.0,10.0,0.15,55.0,1.0,4.0,1958400.0,726750000.0,665600000.0,4.0,3.754448056221008,16.116,1.0
8.0,1344000.0,726750000.0,665600000.0,1.0,4.723439931869507,17.023,18.0,10.0,4.0,10.0,0.15,55.0,1.0,4.0,1344000.0,522750000.0,2133000000.0,4.0,3.4078400135040283,17.627,1.0
8.0,1344000.0,726750000.0,665600000.0,1.0,4.723439931869507,17.023,19.0,10.0,4.0,10.0,0.15,55.0,1.0,8.0,1651200.0,726750000.0,2133000000.0,4.0,2.7279999256134038,18.027,1.0
8.0,1344000.0,726750000.0,665600000.0,1.0,4.723439931869507,17.023,20.0,10.0,4.0,10.0,0.15,55.0,1.0,8.0,1651200.0,726750000.0,2133000000.0,4.0,2.7279999256134038,18.027,1.0
8.0,729600.0,1134750000.0,2133000000.0,1.0,4.2562878131866455,20.737,21.0,11.0,4.0,11.0,0.15,55.0,1.0,4.0,2201600.0,522750000.0,2133000000.0,4.0,2.660096049308777,20.746,1.0
8.0,729600.0,1134750000.0,2133000000.0,1.0,4.2562878131866455,20.737,22.0,11.0,4.0,11.0,0.15,55.0,1.0,4.0,1958400.0,726750000.0,2133000000.0,4.0,2.462239980697632,21.15,1.0
8.0,1036800.0,1134750000.0,2133000000.0,1.0,3.341055989265442,22.352,23.0,11.0,4.0,11.0,0.15,55.0,1.0,8.0,2201600.0,726750000.0,2133000000.0,4.0,2.3234879970550537,22.557,1.0
8.0,1344000.0,1300500000.0,2133000000.0,1.0,2.857327938079834,21.245,24.0,11.0,4.0,11.0,0.15,55.0,1.0,8.0,1958400.0,1300500000.0,2133000000.0,4.0,2.225343942642212,23.051,1.0
8.0,1344000.0,1300500000.0,2133000000.0,1.0,2.857327938079834,21.245,25.0,11.0,4.0,11.0,0.15,55.0,1.0,8.0,2201600.0,930750000.0,2133000000.0,4.0,2.18012809753418,24.473,1.0
8.0,1344000.0,1300500000.0,2133000000.0,1.0,2.857327938079834,21.245,26.0,11.0,4.0,11.0,0.15,55.0,1.0,8.0,2201600.0,930750000.0,3199000000.0,1.0,2.115936040878296,25.978,1.0
8.0,1958400.0,726750000.0,2133000000.0,1.0,2.2282400131225586,26.982,27.0,10.0,4.0,10.0,0.15,55.0,1.0,12.0,2201600.0,930750000.0,3199000000.0,4.0,2.0701279640197754,26.884,1.0
8.0,1958400.0,726750000.0,2133000000.0,1.0,2.2282400131225586,26.982,28.0,10.0,4.0,10.0,0.15,55.0,1.0,4.0,2201600.0,1134750000.0,3199000000.0,1.0,1.95687997341156,27.689,1.0
8.0,2201600.0,1134750000.0,3199000000.0,1.0,2.028864026069641,28.486,29.0,10.0,4.0,10.0,0.15,55.0,1.0,4.0,2201600.0,1134750000.0,3199000000.0,1.0,1.95687997341156,27.689,1.0
8.0,2201600.0,1134750000.0,3199000000.0,1.0,2.028864026069641,28.486,30.0,10.0,4.0,10.0,0.15,55.0,1.0,4.0,2201600.0,1134750000.0,3199000000.0,1.0,1.95687997341156,27.689,1.0
8.0,2201600.0,1134750000.0,3199000000.0,1.0,2.028864026069641,28.486,31.0,10.0,4.0,10.0,0.15,55.0,1.0,4.0,2201600.0,1134750000.0,3199000000.0,1.0,1.95687997341156,27.689,1.0
12.0,2201600.0,1300500000.0,3199000000.0,1.0,1.8947359919548037,31.41,32.0,10.0,4.0,10.0,0.15,55.0,1.0,12.0,2201600.0,1300500000.0,3199000000.0,1.0,1.8947359919548037,31.41,1.0
12.0,2201600.0,1300500000.0,3199000000.0,1.0,1.8947359919548037,31.41,33.0,10.0,4.0,10.0,0.15,55.0,1.0,12.0,2201600.0,1300500000.0,3199000000.0,1.0,1.8947359919548037,31.41,1.0
12.0,2201600.0,1300500000.0,3199000000.0,1.0,1.8947359919548037,31.41,34.0,10.0,4.0,10.0,0.15,55.0,1.0,12.0,2201600.0,1300500000.0,3199000000.0,1.0,1.8947359919548037,31.41,1.0
12.0,2201600.0,1300500000.0,3199000000.0,1.0,1.8947359919548037,31.41,35.0,10.0,4.0,10.0,0.15,55.0,1.0,12.0,2201600.0,1300500000.0,3199000000.0,1.0,1.8947359919548037,31.41,1.0
12.0,2201600.0,1300500000.0,3199000000.0,1.0,1.8947359919548037,31.41,36.0,10.0,4.0,10.0,0.15,55.0,1.0,12.0,2201600.0,1300500000.0,3199000000.0,1.0,1.8947359919548037,31.41,1.0
12.0,2201600.0,1300500000.0,3199000000.0,1.0,1.8947359919548037,31.41,37.0,10.0,4.0,10.0,0.15,55.0,1.0,12.0,2201600.0,1300500000.0,3199000000.0,1.0,1.8947359919548037,31.41,1.0
12.0,2201600.0,1300500000.0,3199000000.0,1.0,1.8947359919548037,31.41,38.0,10.0,4.0,10.0,0.15,55.0,1.0,12.0,2201600.0,1300500000.0,3199000000.0,1.0,1.8947359919548037,31.41,1.0
12.0,2201600.0,1300500000.0,3199000000.0,1.0,1.8947359919548037,31.41,39.0,10.0,4.0,10.0,0.15,55.0,1.0,12.0,2201600.0,1300500000.0,3199000000.0,1.0,1.8947359919548037,31.41,1.0
12.0,2201600.0,1300500000.0,3199000000.0,1.0,1.8947359919548037,31.41,40.0,10.0,4.0,10.0,0.15,55.0,1.0,12.0,2201600.0,1300500000.0,3199000000.0,1.0,1.8947359919548037,31.41,1.0
12.0,2201600.0,1300500000.0,3199000000.0,1.0,1.8947359919548037,31.41,41.0,10.0,4.0,10.0,0.15,55.0,1.0,12.0,2201600.0,1300500000.0,3199000000.0,1.0,1.8947359919548037,31.41,1.0
12.0,2201600.0,1300500000.0,3199000000.0,1.0,1.8947359919548037,31.41,42.0,10.0,4.0,10.0,0.15,55.0,1.0,12.0,2201600.0,1300500000.0,3199000000.0,1.0,1.8947359919548037,31.41,1.0
12.0,2201600.0,1300500000.0,3199000000.0,1.0,1.8947359919548037,31.41,43.0,10.0,4.0,10.0,0.15,55.0,1.0,12.0,2201600.0,1300500000.0,3199000000.0,1.0,1.8947359919548037,31.41,1.0
12.0,2201600.0,1300500000.0,3199000000.0,1.0,1.8947359919548037,31.41,44.0,10.0,4.0,10.0,0.15,55.0,1.0,12.0,2201600.0,1300500000.0,3199000000.0,1.0,1.8947359919548037,31.41,1.0
12.0,2201600.0,1300500000.0,3199000000.0,1.0,1.8947359919548037,31.41,45.0,10.0,4.0,10.0,0.15,55.0,1.0,12.0,2201600.0,1300500000.0,3199000000.0,1.0,1.8947359919548037,31.41,1.0
12.0,2201600.0,1300500000.0,3199000000.0,1.0,1.8947359919548037,31.41,46.0,10.0,4.0,10.0,0.15,55.0,1.0,12.0,2201600.0,1300500000.0,3199000000.0,1.0,1.8947359919548037,31.41,1.0
12.0,2201600.0,1300500000.0,3199000000.0,1.0,1.8947359919548037,31.41,47.0,10.0,4.0,10.0,0.15,55.0,1.0,12.0,2201600.0,1300500000.0,3199000000.0,1.0,1.8947359919548037,31.41,1.0
12.0,2201600.0,1300500000.0,3199000000.0,1.0,1.8947359919548037,31.41,48.0,10.0,4.0,10.0,0.15,55.0,1.0,12.0,2201600.0,1300500000.0,3199000000.0,1.0,1.8947359919548037,31.41,1.0
12.0,2201600.0,1300500000.0,3199000000.0,1.0,1.8947359919548037,31.41,49.0,10.0,4.0,10.0,0.15,55.0,1.0,12.0,2201600.0,1300500000.0,3199000000.0,1.0,1.8947359919548037,31.41,1.0
12.0,2201600.0,1300500000.0,3199000000.0,1.0,1.8947359919548037,31.41,50.0,10.0,4.0,10.0,0.15,55.0,1.0,12.0,2201600.0,1300500000.0,3199000000.0,1.0,1.8947359919548037,31.41,1.0
4.0,1344000.0,726750000.0,2133000000.0,1.0,2.8775999546051025,23.456,10.0,10.0,4.0,10.0,0.05,60.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4.0,1344000.0,726750000.0,2133000000.0,1.0,2.8775999546051025,23.456,11.0,10.0,4.0,10.0,0.05,60.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4.0,1344000.0,726750000.0,2133000000.0,1.0,2.8775999546051025,23.456,12.0,10.0,4.0,10.0,0.05,60.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4.0,1344000.0,726750000.0,2133000000.0,1.0,2.8775999546051025,23.456,13.0,10.0,4.0,10.0,0.05,60.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
12.0,422400.0,114750000.0,665600000.0,1.0,11.383920192718506,13.59,14.0,10.0,4.0,10.0,0.05,60.0,1.0,12.0,422400.0,522750000.0,665600000.0,1.0,8.15771198272705,13.994,1.0
8.0,422400.0,114750000.0,3199000000.0,1.0,11.3645920753479,14.911,15.0,10.0,4.0,10.0,0.05,60.0,1.0,12.0,729600.0,318750000.0,665600000.0,1.0,6.129999876022339,14.909,1.0
8.0,1344000.0,114750000.0,2133000000.0,1.0,8.46068811416626,15.313,16.0,10.0,4.0,10.0,0.05,60.0,1.0,4.0,1036800.0,522750000.0,665600000.0,1.0,4.955008029937744,15.514,1.0
8.0,1344000.0,114750000.0,2133000000.0,1.0,8.46068811416626,15.313,17.0,10.0,4.0,10.0,0.05,60.0,1.0,4.0,1651200.0,522750000.0,665600000.0,1.0,4.057503938674927,16.726,1.0
8.0,1344000.0,726750000.0,665600000.0,1.0,4.723439931869507,17.023,18.0,10.0,4.0,10.0,0.05,60.0,1.0,4.0,1958400.0,930750000.0,665600000.0,1.0,3.764415979385376,17.218,1.0
8.0,1344000.0,726750000.0,665600000.0,1.0,4.723439931869507,17.023,19.0,10.0,4.0,10.0,0.05,60.0,1.0,4.0,1958400.0,930750000.0,665600000.0,1.0,3.764415979385376,17.218,1.0
8.0,1344000.0,726750000.0,665600000.0,1.0,4.723439931869507,17.023,20.0,10.0,4.0,10.0,0.05,60.0,1.0,4.0,1344000.0,522750000.0,3199000000.0,1.0,3.3120639324188232,19.041,1.0
8.0,729600.0,1134750000.0,2133000000.0,1.0,4.2562878131866455,20.737,21.0,11.0,4.0,11.0,0.05,60.0,1.0,8.0,1958400.0,522750000.0,3199000000.0,1.0,2.728000044822693,20.542,1.0
8.0,729600.0,1134750000.0,2133000000.0,1.0,4.2562878131866455,20.737,22.0,11.0,4.0,11.0,0.05,60.0,1.0,8.0,1651200.0,726750000.0,3199000000.0,1.0,2.638192057609558,21.451,1.0
8.0,1036800.0,1134750000.0,2133000000.0,1.0,3.341055989265442,22.352,23.0,11.0,4.0,11.0,0.05,60.0,1.0,4.0,1958400.0,726750000.0,3199000000.0,1.0,2.3868000507354736,22.559,1.0
8.0,1344000.0,1300500000.0,2133000000.0,1.0,2.857327938079834,21.245,24.0,11.0,4.0,11.0,0.05,60.0,1.0,12.0,1958400.0,726750000.0,3199000000.0,1.0,2.369375944137573,23.464,1.0
8.0,1344000.0,1300500000.0,2133000000.0,1.0,2.857327938079834,21.245,25.0,11.0,4.0,11.0,0.05,60.0,1.0,4.0,1958400.0,930750000.0,3199000000.0,1.0,2.218832015991211,24.579,1.0
8.0,1344000.0,1300500000.0,2133000000.0,1.0,2.857327938079834,21.245,26.0,11.0,4.0,11.0,0.05,60.0,1.0,8.0,2201600.0,930750000.0,3199000000.0,1.0,2.115936040878296,25.978,1.0
8.0,1958400.0,726750000.0,2133000000.0,1.0,2.2282400131225586,26.982,27.0,10.0,4.0,10.0,0.05,60.0,1.0,12.0,2201600.0,930750000.0,3199000000.0,1.0,2.085503935813904,26.38,1.0
8.0,1958400.0,726750000.0,2133000000.0,1.0,2.2282400131225586,26.982,28.0,10.0,4.0,10.0,0.05,60.0,1.0,4.0,2201600.0,1134750000.0,3199000000.0,1.0,1.95687997341156,27.689,1.0
8.0,2201600.0,1134750000.0,3199000000.0,1.0,2.028864026069641,28.486,29.0,10.0,4.0,10.0,0.05,60.0,1.0,4.0,2201600.0,1134750000.0,3199000000.0,1.0,1.95687997341156,27.689,1.0
8.0,2201600.0,1134750000.0,3199000000.0,1.0,2.028864026069641,28.486,30.0,10.0,4.0,10.0,0.05,60.0,1.0,4.0,2201600.0,1134750000.0,3199000000.0,1.0,1.95687997341156,27.689,1.0
8.0,2201600.0,1134750000.0,3199000000.0,1.0,2.028864026069641,28.486,31.0,10.0,4.0,10.0,0.05,60.0,1.0,4.0,2201600.0,1134750000.0,3199000000.0,1.0,1.95687997341156,27.689,1.0
12.0,2201600.0,1300500000.0,3199000000.0,1.0,1.8947359919548037,31.41,32.0,10.0,4.0,10.0,0.05,60.0,1.0,12.0,2201600.0,1300500000.0,3199000000.0,1.0,1.8947359919548037,31.41,1.0
12.0,2201600.0,1300500000.0,3199000000.0,1.0,1.8947359919548037,31.41,33.0,10.0,4.0,10.0,0.05,60.0,1.0,12.0,2201600.0,1300500000.0,3199000000.0,1.0,1.8947359919548037,31.41,1.0
12.0,2201600.0,1300500000.0,3199000000.0,1.0,1.8947359919548037,31.41,34.0,10.0,4.0,10.0,0.05,60.0,1.0,12.0,2201600.0,1300500000.0,3199000000.0,1.0,1.8947359919548037,31.41,1.0
12.0,2201600.0,1300500000.0,3199000000.0,1.0,1.8947359919548037,31.41,35.0,10.0,4.0,10.0,0.05,60.0,1.0,12.0,2201600.0,1300500000.0,3199000000.0,1.0,1.8947359919548037,31.41,1.0
12.0,2201600.0,1300500000.0,3199000000.0,1.0,1.8947359919548037,31.41,36.0,10.0,4.0,10.0,0.05,60.0,1.0,12.0,2201600.0,1300500000.0,3199000000.0,1.0,1.8947359919548037,31.41,1.0
12.0,2201600.0,1300500000.0,3199000000.0,1.0,1.8947359919548037,31.41,37.0,10.0,4.0,10.0,0.05,60.0,1.0,12.0,2201600.0,1300500000.0,3199000000.0,1.0,1.8947359919548037,31.41,1.0
12.0,2201600.0,1300500000.0,3199000000.0,1.0,1.8947359919548037,31.41,38.0,10.0,4.0,10.0,0.05,60.0,1.0,12.0,2201600.0,1300500000.0,3199000000.0,1.0,1.8947359919548037,31.41,1.0
12.0,2201600.0,1300500000.0,3199000000.0,1.0,1.8947359919548037,31.41,39.0,10.0,4.0,10.0,0.05,60.0,1.0,12.0,2201600.0,1300500000.0,3199000000.0,1.0,1.8947359919548037,31.41,1.0
12.0,2201600.0,1300500000.0,3199000000.0,1.0,1.8947359919548037,31.41,40.0,10.0,4.0,10.0,0.05,60.0,1.0,12.0,2201600.0,1300500000.0,3199000000.0,1.0,1.8947359919548037,31.41,1.0
12.0,2201600.0,1300500000.0,3199000000.0,1.0,1.8947359919548037,31.41,41.0,10.0,4.0,10.0,0.05,60.0,1.0,12.0,2201600.0,1300500000.0,3199000000.0,1.0,1.8947359919548037,31.41,1.0
12.0,2201600.0,1300500000.0,3199000000.0,1.0,1.8947359919548037,31.41,42.0,10.0,4.0,10.0,0.05,60.0,1.0,12.0,2201600.0,1300500000.0,3199000000.0,1.0,1.8947359919548037,31.41,1.0
12.0,2201600.0,1300500000.0,3199000000.0,1.0,1.8947359919548037,31.41,43.0,10.0,4.0,10.0,0.05,60.0,1.0,12.0,2201600.0,1300500000.0,3199000000.0,1.0,1.8947359919548037,31.41,1.0
12.0,2201600.0,1300500000.0,3199000000.0,1.0,1.8947359919548037,31.41,44.0,10.0,4.0,10.0,0.05,60.0,1.0,12.0,2201600.0,1300500000.0,3199000000.0,1.0,1.8947359919548037,31.41,1.0
12.0,2201600.0,1300500000.0,3199000000.0,1.0,1.8947359919548037,31.41,45.0,10.0,4.0,10.0,0.05,60.0,1.0,12.0,2201600.0,1300500000.0,3199000000.0,1.0,1.8947359919548037,31.41,1.0
12.0,2201600.0,1300500000.0,3199000000.0,1.0,1.8947359919548037,31.41,46.0,10.0,4.0,10.0,0.05,60.0,1.0,12.0,2201600.0,1300500000.0,3199000000.0,1.0,1.8947359919548037,31.41,1.0
12.0,2201600.0,1300500000.0,3199000000.0,1.0,1.8947359919548037,31.41,47.0,10.0,4.0,10.0,0.05,60.0,1.0,12.0,2201600.0,1300500000.0,3199000000.0,1.0,1.8947359919548037,31.41,1.0
12.0,2201600.0,1300500000.0,3199000000.0,1.0,1.8947359919548037,31.41,48.0,10.0,4.0,10.0,0.05,60.0,1.0,12.0,2201600.0,1300500000.0,3199000000.0,1.0,1.8947359919548037,31.41,1.0
12.0,2201600.0,1300500000.0,3199000000.0,1.0,1.8947359919548037,31.41,49.0,10.0,4.0,10.0,0.05,60.0,1.0,12.0,2201600.0,1300500000.0,3199000000.0,1.0,1.8947359919548037,31.41,1.0
12.0,2201600.0,1300500000.0,3199000000.0,1.0,1.8947359919548037,31.41,50.0,10.0,4.0,10.0,0.05,60.0,1.0,12.0,2201600.0,1300500000.0,3199000000.0,1.0,1.8947359919548037,31.41,1.0
