cores_algo,cpu_algo,gpu_algo,mem_algo,bs_algo,algo_time,algo_power,power_budget,num_pwds,visited_dim,tries,time_budget,arr_rate,soln_algo,cores_optimal,cpu_optimal,gpu_optimal,mem_optimal,bs_optimal,optim_time,optim_power,soln_optimal
8.0,2201600.0,1134750000.0,3199000000.0,1.0,16.151567459106445,24.0195,36.0,9.0,4.0,9.0,0.12,45.0,1.0,12.0,2201600.0,1300500000.0,3199000000.0,1.0,15.366144180297852,26.929,1.0
8.0,2201600.0,1134750000.0,3199000000.0,1.0,16.151567459106445,24.0195,37.0,9.0,4.0,9.0,0.12,45.0,1.0,12.0,2201600.0,1300500000.0,3199000000.0,1.0,15.366144180297852,26.929,1.0
8.0,2201600.0,1134750000.0,3199000000.0,1.0,16.151567459106445,24.0195,38.0,9.0,4.0,9.0,0.12,45.0,1.0,12.0,2201600.0,1300500000.0,3199000000.0,1.0,15.366144180297852,26.929,1.0
8.0,2201600.0,1134750000.0,3199000000.0,1.0,16.151567459106445,24.0195,39.0,9.0,4.0,9.0,0.12,45.0,1.0,12.0,2201600.0,1300500000.0,3199000000.0,1.0,15.366144180297852,26.929,1.0
8.0,2201600.0,1134750000.0,3199000000.0,1.0,16.151567459106445,24.0195,40.0,9.0,4.0,9.0,0.12,45.0,1.0,12.0,2201600.0,1300500000.0,3199000000.0,1.0,15.366144180297852,26.929,1.0
8.0,2201600.0,1134750000.0,3199000000.0,1.0,16.151567459106445,24.0195,41.0,9.0,4.0,9.0,0.12,45.0,1.0,12.0,2201600.0,1300500000.0,3199000000.0,1.0,15.366144180297852,26.929,1.0
8.0,2201600.0,1134750000.0,3199000000.0,1.0,16.151567459106445,24.0195,42.0,9.0,4.0,9.0,0.12,45.0,1.0,12.0,2201600.0,1300500000.0,3199000000.0,1.0,15.366144180297852,26.929,1.0
8.0,2201600.0,1134750000.0,3199000000.0,1.0,16.151567459106445,24.0195,43.0,9.0,4.0,9.0,0.12,45.0,1.0,12.0,2201600.0,1300500000.0,3199000000.0,1.0,15.366144180297852,26.929,1.0
8.0,2201600.0,1134750000.0,3199000000.0,1.0,16.151567459106445,24.0195,44.0,9.0,4.0,9.0,0.12,45.0,1.0,12.0,2201600.0,1300500000.0,3199000000.0,1.0,15.366144180297852,26.929,1.0
8.0,2201600.0,1134750000.0,3199000000.0,1.0,16.151567459106445,24.0195,45.0,9.0,4.0,9.0,0.12,45.0,1.0,12.0,2201600.0,1300500000.0,3199000000.0,1.0,15.366144180297852,26.929,1.0
8.0,2201600.0,1134750000.0,3199000000.0,1.0,16.151567459106445,24.0195,46.0,9.0,4.0,9.0,0.12,45.0,1.0,12.0,2201600.0,1300500000.0,3199000000.0,1.0,15.366144180297852,26.929,1.0
8.0,2201600.0,1134750000.0,3199000000.0,1.0,16.151567459106445,24.0195,47.0,9.0,4.0,9.0,0.12,45.0,1.0,12.0,2201600.0,1300500000.0,3199000000.0,1.0,15.366144180297852,26.929,1.0
8.0,2201600.0,1134750000.0,3199000000.0,1.0,16.151567459106445,24.0195,48.0,9.0,4.0,9.0,0.12,45.0,1.0,12.0,2201600.0,1300500000.0,3199000000.0,1.0,15.366144180297852,26.929,1.0
8.0,2201600.0,1134750000.0,3199000000.0,1.0,16.151567459106445,24.0195,49.0,9.0,4.0,9.0,0.12,45.0,1.0,12.0,2201600.0,1300500000.0,3199000000.0,1.0,15.366144180297852,26.929,1.0
8.0,2201600.0,1134750000.0,3199000000.0,1.0,16.151567459106445,24.0195,50.0,9.0,4.0,9.0,0.12,45.0,1.0,12.0,2201600.0,1300500000.0,3199000000.0,1.0,15.366144180297852,26.929,1.0
8.0,1344000.0,726750000.0,2133000000.0,1.0,26.38566398620605,17.4075,10.0,10.0,4.0,10.0,0.13,45.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8.0,1344000.0,726750000.0,2133000000.0,1.0,26.38566398620605,17.4075,11.0,10.0,4.0,10.0,0.13,45.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8.0,1344000.0,726750000.0,2133000000.0,1.0,26.38566398620605,17.4075,12.0,10.0,4.0,10.0,0.13,45.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8.0,1344000.0,726750000.0,2133000000.0,1.0,26.38566398620605,17.4075,13.0,10.0,4.0,10.0,0.13,45.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8.0,1344000.0,726750000.0,2133000000.0,1.0,26.38566398620605,17.4075,14.0,10.0,4.0,10.0,0.13,45.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8.0,1344000.0,726750000.0,2133000000.0,1.0,26.38566398620605,17.4075,15.0,10.0,4.0,10.0,0.13,45.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8.0,1344000.0,726750000.0,2133000000.0,1.0,26.38566398620605,17.4075,16.0,11.0,4.0,11.0,0.13,45.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8.0,1344000.0,726750000.0,2133000000.0,1.0,26.38566398620605,17.4075,17.0,11.0,4.0,11.0,0.13,45.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8.0,2201600.0,726750000.0,2133000000.0,1.0,17.304240226745605,20.968,18.0,10.0,4.0,10.0,0.13,45.0,0.0,8.0,1958400.0,318750000.0,2133000000.0,1.0,21.16374397277832,17.918,1.0
8.0,1651200.0,726750000.0,2133000000.0,1.0,21.710463523864743,18.4615,19.0,10.0,4.0,10.0,0.13,45.0,1.0,8.0,1958400.0,522750000.0,2133000000.0,1.0,19.04729557037353,18.2625,1.0
8.0,1958400.0,726750000.0,2133000000.0,1.0,19.654128074646,19.464,20.0,9.0,4.0,9.0,0.13,45.0,1.0,8.0,2201600.0,522750000.0,2133000000.0,1.0,17.829855918884277,19.916,1.0
8.0,2201600.0,726750000.0,2133000000.0,1.0,17.304240226745605,20.968,21.0,9.0,4.0,9.0,0.13,45.0,1.0,4.0,2201600.0,522750000.0,3199000000.0,1.0,17.253727912902832,20.468,1.0
8.0,2201600.0,522750000.0,3199000000.0,1.0,17.048240661621094,21.7805,22.0,9.0,4.0,9.0,0.13,45.0,1.0,8.0,2201600.0,930750000.0,3199000000.0,1.0,16.1494722366333,21.817,1.0
8.0,2201600.0,930750000.0,3199000000.0,1.0,16.1494722366333,21.817,23.0,9.0,4.0,9.0,0.13,45.0,1.0,8.0,2201600.0,930750000.0,3199000000.0,1.0,16.1494722366333,21.817,1.0
8.0,2201600.0,930750000.0,3199000000.0,1.0,16.1494722366333,21.817,24.0,9.0,4.0,9.0,0.13,45.0,1.0,12.0,2201600.0,930750000.0,3199000000.0,1.0,15.914127826690674,23.32,1.0
8.0,2201600.0,1134750000.0,3199000000.0,1.0,16.151567459106445,24.0195,25.0,9.0,4.0,9.0,0.13,45.0,1.0,12.0,2201600.0,930750000.0,3199000000.0,1.0,15.914127826690674,23.32,1.0
8.0,2201600.0,1134750000.0,3199000000.0,1.0,16.151567459106445,24.0195,26.0,9.0,4.0,9.0,0.13,45.0,1.0,12.0,2201600.0,1134750000.0,3199000000.0,1.0,15.638911724090576,25.3735,1.0
8.0,2201600.0,1134750000.0,3199000000.0,1.0,16.151567459106445,24.0195,27.0,9.0,4.0,9.0,0.13,45.0,1.0,12.0,2201600.0,1300500000.0,3199000000.0,1.0,15.366144180297852,26.929,1.0
8.0,2201600.0,1134750000.0,3199000000.0,1.0,16.151567459106445,24.0195,28.0,9.0,4.0,9.0,0.13,45.0,1.0,12.0,2201600.0,1300500000.0,3199000000.0,1.0,15.366144180297852,26.929,1.0
8.0,2201600.0,1134750000.0,3199000000.0,1.0,16.151567459106445,24.0195,29.0,9.0,4.0,9.0,0.13,45.0,1.0,12.0,2201600.0,1300500000.0,3199000000.0,1.0,15.366144180297852,26.929,1.0
8.0,2201600.0,1134750000.0,3199000000.0,1.0,16.151567459106445,24.0195,30.0,9.0,4.0,9.0,0.13,45.0,1.0,12.0,2201600.0,1300500000.0,3199000000.0,1.0,15.366144180297852,26.929,1.0
8.0,2201600.0,1134750000.0,3199000000.0,1.0,16.151567459106445,24.0195,31.0,9.0,4.0,9.0,0.13,45.0,1.0,12.0,2201600.0,1300500000.0,3199000000.0,1.0,15.366144180297852,26.929,1.0
8.0,2201600.0,1134750000.0,3199000000.0,1.0,16.151567459106445,24.0195,32.0,9.0,4.0,9.0,0.13,45.0,1.0,12.0,2201600.0,1300500000.0,3199000000.0,1.0,15.366144180297852,26.929,1.0
8.0,2201600.0,1134750000.0,3199000000.0,1.0,16.151567459106445,24.0195,33.0,9.0,4.0,9.0,0.13,45.0,1.0,12.0,2201600.0,1300500000.0,3199000000.0,1.0,15.366144180297852,26.929,1.0
8.0,2201600.0,1134750000.0,3199000000.0,1.0,16.151567459106445,24.0195,34.0,9.0,4.0,9.0,0.13,45.0,1.0,12.0,2201600.0,1300500000.0,3199000000.0,1.0,15.366144180297852,26.929,1.0
8.0,2201600.0,1134750000.0,3199000000.0,1.0,16.151567459106445,24.0195,35.0,9.0,4.0,9.0,0.13,45.0,1.0,12.0,2201600.0,1300500000.0,3199000000.0,1.0,15.366144180297852,26.929,1.0
8.0,2201600.0,1134750000.0,3199000000.0,1.0,16.151567459106445,24.0195,36.0,9.0,4.0,9.0,0.13,45.0,1.0,12.0,2201600.0,1300500000.0,3199000000.0,1.0,15.366144180297852,26.929,1.0
8.0,2201600.0,1134750000.0,3199000000.0,1.0,16.151567459106445,24.0195,37.0,9.0,4.0,9.0,0.13,45.0,1.0,12.0,2201600.0,1300500000.0,3199000000.0,1.0,15.366144180297852,26.929,1.0
8.0,2201600.0,1134750000.0,3199000000.0,1.0,16.151567459106445,24.0195,38.0,9.0,4.0,9.0,0.13,45.0,1.0,12.0,2201600.0,1300500000.0,3199000000.0,1.0,15.366144180297852,26.929,1.0
8.0,2201600.0,1134750000.0,3199000000.0,1.0,16.151567459106445,24.0195,39.0,9.0,4.0,9.0,0.13,45.0,1.0,12.0,2201600.0,1300500000.0,3199000000.0,1.0,15.366144180297852,26.929,1.0
8.0,2201600.0,1134750000.0,3199000000.0,1.0,16.151567459106445,24.0195,40.0,9.0,4.0,9.0,0.13,45.0,1.0,12.0,2201600.0,1300500000.0,3199000000.0,1.0,15.366144180297852,26.929,1.0
8.0,2201600.0,1134750000.0,3199000000.0,1.0,16.151567459106445,24.0195,41.0,9.0,4.0,9.0,0.13,45.0,1.0,12.0,2201600.0,1300500000.0,3199000000.0,1.0,15.366144180297852,26.929,1.0
8.0,2201600.0,1134750000.0,3199000000.0,1.0,16.151567459106445,24.0195,42.0,9.0,4.0,9.0,0.13,45.0,1.0,12.0,2201600.0,1300500000.0,3199000000.0,1.0,15.366144180297852,26.929,1.0
8.0,2201600.0,1134750000.0,3199000000.0,1.0,16.151567459106445,24.0195,43.0,9.0,4.0,9.0,0.13,45.0,1.0,12.0,2201600.0,1300500000.0,3199000000.0,1.0,15.366144180297852,26.929,1.0
8.0,2201600.0,1134750000.0,3199000000.0,1.0,16.151567459106445,24.0195,44.0,9.0,4.0,9.0,0.13,45.0,1.0,12.0,2201600.0,1300500000.0,3199000000.0,1.0,15.366144180297852,26.929,1.0
8.0,2201600.0,1134750000.0,3199000000.0,1.0,16.151567459106445,24.0195,45.0,9.0,4.0,9.0,0.13,45.0,1.0,12.0,2201600.0,1300500000.0,3199000000.0,1.0,15.366144180297852,26.929,1.0
8.0,2201600.0,1134750000.0,3199000000.0,1.0,16.151567459106445,24.0195,46.0,9.0,4.0,9.0,0.13,45.0,1.0,12.0,2201600.0,1300500000.0,3199000000.0,1.0,15.366144180297852,26.929,1.0
8.0,2201600.0,1134750000.0,3199000000.0,1.0,16.151567459106445,24.0195,47.0,9.0,4.0,9.0,0.13,45.0,1.0,12.0,2201600.0,1300500000.0,3199000000.0,1.0,15.366144180297852,26.929,1.0
8.0,2201600.0,1134750000.0,3199000000.0,1.0,16.151567459106445,24.0195,48.0,9.0,4.0,9.0,0.13,45.0,1.0,12.0,2201600.0,1300500000.0,3199000000.0,1.0,15.366144180297852,26.929,1.0
8.0,2201600.0,1134750000.0,3199000000.0,1.0,16.151567459106445,24.0195,49.0,9.0,4.0,9.0,0.13,45.0,1.0,12.0,2201600.0,1300500000.0,3199000000.0,1.0,15.366144180297852,26.929,1.0
8.0,2201600.0,1134750000.0,3199000000.0,1.0,16.151567459106445,24.0195,50.0,9.0,4.0,9.0,0.13,45.0,1.0,12.0,2201600.0,1300500000.0,3199000000.0,1.0,15.366144180297852,26.929,1.0
8.0,1344000.0,726750000.0,2133000000.0,1.0,26.38566398620605,17.4075,10.0,10.0,4.0,10.0,0.14,45.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8.0,1344000.0,726750000.0,2133000000.0,1.0,26.38566398620605,17.4075,11.0,10.0,4.0,10.0,0.14,45.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8.0,1344000.0,726750000.0,2133000000.0,1.0,26.38566398620605,17.4075,12.0,10.0,4.0,10.0,0.14,45.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8.0,1344000.0,726750000.0,2133000000.0,1.0,26.38566398620605,17.4075,13.0,10.0,4.0,10.0,0.14,45.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8.0,1344000.0,726750000.0,2133000000.0,1.0,26.38566398620605,17.4075,14.0,10.0,4.0,10.0,0.14,45.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8.0,1344000.0,726750000.0,2133000000.0,1.0,26.38566398620605,17.4075,15.0,10.0,4.0,10.0,0.14,45.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8.0,1344000.0,726750000.0,2133000000.0,1.0,26.38566398620605,17.4075,16.0,11.0,4.0,11.0,0.14,45.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8.0,1344000.0,726750000.0,2133000000.0,1.0,26.38566398620605,17.4075,17.0,11.0,4.0,11.0,0.14,45.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8.0,2201600.0,726750000.0,2133000000.0,1.0,17.304240226745605,20.968,18.0,10.0,4.0,10.0,0.14,45.0,0.0,8.0,1958400.0,318750000.0,2133000000.0,1.0,21.16374397277832,17.918,1.0
8.0,1651200.0,726750000.0,2133000000.0,1.0,21.710463523864743,18.4615,19.0,10.0,4.0,10.0,0.14,45.0,1.0,8.0,1958400.0,522750000.0,2133000000.0,1.0,19.04729557037353,18.2625,1.0
8.0,1958400.0,726750000.0,2133000000.0,1.0,19.654128074646,19.464,20.0,9.0,4.0,9.0,0.14,45.0,1.0,8.0,2201600.0,522750000.0,2133000000.0,1.0,17.829855918884277,19.916,1.0
8.0,2201600.0,726750000.0,2133000000.0,1.0,17.304240226745605,20.968,21.0,9.0,4.0,9.0,0.14,45.0,1.0,4.0,2201600.0,522750000.0,3199000000.0,1.0,17.253727912902832,20.468,1.0
8.0,2201600.0,522750000.0,3199000000.0,1.0,17.048240661621094,21.7805,22.0,9.0,4.0,9.0,0.14,45.0,1.0,8.0,2201600.0,930750000.0,3199000000.0,1.0,16.1494722366333,21.817,1.0
8.0,2201600.0,930750000.0,3199000000.0,1.0,16.1494722366333,21.817,23.0,9.0,4.0,9.0,0.14,45.0,1.0,8.0,2201600.0,930750000.0,3199000000.0,1.0,16.1494722366333,21.817,1.0
8.0,2201600.0,930750000.0,3199000000.0,1.0,16.1494722366333,21.817,24.0,9.0,4.0,9.0,0.14,45.0,1.0,12.0,2201600.0,930750000.0,3199000000.0,1.0,15.914127826690674,23.32,1.0
8.0,2201600.0,1134750000.0,3199000000.0,1.0,16.151567459106445,24.0195,25.0,9.0,4.0,9.0,0.14,45.0,1.0,12.0,2201600.0,930750000.0,3199000000.0,1.0,15.914127826690674,23.32,1.0
8.0,2201600.0,1134750000.0,3199000000.0,1.0,16.151567459106445,24.0195,26.0,9.0,4.0,9.0,0.14,45.0,1.0,12.0,2201600.0,1134750000.0,3199000000.0,1.0,15.638911724090576,25.3735,1.0
8.0,2201600.0,1134750000.0,3199000000.0,1.0,16.151567459106445,24.0195,27.0,9.0,4.0,9.0,0.14,45.0,1.0,12.0,2201600.0,1300500000.0,3199000000.0,1.0,15.366144180297852,26.929,1.0
8.0,2201600.0,1134750000.0,3199000000.0,1.0,16.151567459106445,24.0195,28.0,9.0,4.0,9.0,0.14,45.0,1.0,12.0,2201600.0,1300500000.0,3199000000.0,1.0,15.366144180297852,26.929,1.0
8.0,2201600.0,1134750000.0,3199000000.0,1.0,16.151567459106445,24.0195,29.0,9.0,4.0,9.0,0.14,45.0,1.0,12.0,2201600.0,1300500000.0,3199000000.0,1.0,15.366144180297852,26.929,1.0
8.0,2201600.0,1134750000.0,3199000000.0,1.0,16.151567459106445,24.0195,30.0,9.0,4.0,9.0,0.14,45.0,1.0,12.0,2201600.0,1300500000.0,3199000000.0,1.0,15.366144180297852,26.929,1.0
8.0,2201600.0,1134750000.0,3199000000.0,1.0,16.151567459106445,24.0195,31.0,9.0,4.0,9.0,0.14,45.0,1.0,12.0,2201600.0,1300500000.0,3199000000.0,1.0,15.366144180297852,26.929,1.0
8.0,2201600.0,1134750000.0,3199000000.0,1.0,16.151567459106445,24.0195,32.0,9.0,4.0,9.0,0.14,45.0,1.0,12.0,2201600.0,1300500000.0,3199000000.0,1.0,15.366144180297852,26.929,1.0
8.0,2201600.0,1134750000.0,3199000000.0,1.0,16.151567459106445,24.0195,33.0,9.0,4.0,9.0,0.14,45.0,1.0,12.0,2201600.0,1300500000.0,3199000000.0,1.0,15.366144180297852,26.929,1.0
8.0,2201600.0,1134750000.0,3199000000.0,1.0,16.151567459106445,24.0195,34.0,9.0,4.0,9.0,0.14,45.0,1.0,12.0,2201600.0,1300500000.0,3199000000.0,1.0,15.366144180297852,26.929,1.0
8.0,2201600.0,1134750000.0,3199000000.0,1.0,16.151567459106445,24.0195,35.0,9.0,4.0,9.0,0.14,45.0,1.0,12.0,2201600.0,1300500000.0,3199000000.0,1.0,15.366144180297852,26.929,1.0
8.0,2201600.0,1134750000.0,3199000000.0,1.0,16.151567459106445,24.0195,36.0,9.0,4.0,9.0,0.14,45.0,1.0,12.0,2201600.0,1300500000.0,3199000000.0,1.0,15.366144180297852,26.929,1.0
8.0,2201600.0,1134750000.0,3199000000.0,1.0,16.151567459106445,24.0195,37.0,9.0,4.0,9.0,0.14,45.0,1.0,12.0,2201600.0,1300500000.0,3199000000.0,1.0,15.366144180297852,26.929,1.0
8.0,2201600.0,1134750000.0,3199000000.0,1.0,16.151567459106445,24.0195,38.0,9.0,4.0,9.0,0.14,45.0,1.0,12.0,2201600.0,1300500000.0,3199000000.0,1.0,15.366144180297852,26.929,1.0
8.0,2201600.0,1134750000.0,3199000000.0,1.0,16.151567459106445,24.0195,39.0,9.0,4.0,9.0,0.14,45.0,1.0,12.0,2201600.0,1300500000.0,3199000000.0,1.0,15.366144180297852,26.929,1.0
8.0,2201600.0,1134750000.0,3199000000.0,1.0,16.151567459106445,24.0195,40.0,9.0,4.0,9.0,0.14,45.0,1.0,12.0,2201600.0,1300500000.0,3199000000.0,1.0,15.366144180297852,26.929,1.0
8.0,2201600.0,1134750000.0,3199000000.0,1.0,16.151567459106445,24.0195,41.0,9.0,4.0,9.0,0.14,45.0,1.0,12.0,2201600.0,1300500000.0,3199000000.0,1.0,15.366144180297852,26.929,1.0
8.0,2201600.0,1134750000.0,3199000000.0,1.0,16.151567459106445,24.0195,42.0,9.0,4.0,9.0,0.14,45.0,1.0,12.0,2201600.0,1300500000.0,3199000000.0,1.0,15.366144180297852,26.929,1.0
8.0,2201600.0,1134750000.0,3199000000.0,1.0,16.151567459106445,24.0195,43.0,9.0,4.0,9.0,0.14,45.0,1.0,12.0,2201600.0,1300500000.0,3199000000.0,1.0,15.366144180297852,26.929,1.0
8.0,2201600.0,1134750000.0,3199000000.0,1.0,16.151567459106445,24.0195,44.0,9.0,4.0,9.0,0.14,45.0,1.0,12.0,2201600.0,1300500000.0,3199000000.0,1.0,15.366144180297852,26.929,1.0
8.0,2201600.0,1134750000.0,3199000000.0,1.0,16.151567459106445,24.0195,45.0,9.0,4.0,9.0,0.14,45.0,1.0,12.0,2201600.0,1300500000.0,3199000000.0,1.0,15.366144180297852,26.929,1.0
8.0,2201600.0,1134750000.0,3199000000.0,1.0,16.151567459106445,24.0195,46.0,9.0,4.0,9.0,0.14,45.0,1.0,12.0,2201600.0,1300500000.0,3199000000.0,1.0,15.366144180297852,26.929,1.0
8.0,2201600.0,1134750000.0,3199000000.0,1.0,16.151567459106445,24.0195,47.0,9.0,4.0,9.0,0.14,45.0,1.0,12.0,2201600.0,1300500000.0,3199000000.0,1.0,15.366144180297852,26.929,1.0
8.0,2201600.0,1134750000.0,3199000000.0,1.0,16.151567459106445,24.0195,48.0,9.0,4.0,9.0,0.14,45.0,1.0,12.0,2201600.0,1300500000.0,3199000000.0,1.0,15.366144180297852,26.929,1.0
8.0,2201600.0,1134750000.0,3199000000.0,1.0,16.151567459106445,24.0195,49.0,9.0,4.0,9.0,0.14,45.0,1.0,12.0,2201600.0,1300500000.0,3199000000.0,1.0,15.366144180297852,26.929,1.0
8.0,2201600.0,1134750000.0,3199000000.0,1.0,16.151567459106445,24.0195,50.0,9.0,4.0,9.0,0.14,45.0,1.0,12.0,2201600.0,1300500000.0,3199000000.0,1.0,15.366144180297852,26.929,1.0
8.0,1344000.0,726750000.0,2133000000.0,1.0,26.38566398620605,17.4075,10.0,10.0,4.0,10.0,0.15,45.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8.0,1344000.0,726750000.0,2133000000.0,1.0,26.38566398620605,17.4075,11.0,10.0,4.0,10.0,0.15,45.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8.0,1344000.0,726750000.0,2133000000.0,1.0,26.38566398620605,17.4075,12.0,10.0,4.0,10.0,0.15,45.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8.0,1344000.0,726750000.0,2133000000.0,1.0,26.38566398620605,17.4075,13.0,10.0,4.0,10.0,0.15,45.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8.0,1344000.0,726750000.0,2133000000.0,1.0,26.38566398620605,17.4075,14.0,10.0,4.0,10.0,0.15,45.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8.0,1344000.0,726750000.0,2133000000.0,1.0,26.38566398620605,17.4075,15.0,10.0,4.0,10.0,0.15,45.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8.0,1344000.0,726750000.0,2133000000.0,1.0,26.38566398620605,17.4075,16.0,11.0,4.0,11.0,0.15,45.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8.0,1344000.0,726750000.0,2133000000.0,1.0,26.38566398620605,17.4075,17.0,11.0,4.0,11.0,0.15,45.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8.0,2201600.0,726750000.0,2133000000.0,1.0,17.304240226745605,20.968,18.0,10.0,4.0,10.0,0.15,45.0,0.0,8.0,1958400.0,318750000.0,2133000000.0,1.0,21.16374397277832,17.918,1.0
8.0,1651200.0,726750000.0,2133000000.0,1.0,21.710463523864743,18.4615,19.0,10.0,4.0,10.0,0.15,45.0,1.0,8.0,1958400.0,522750000.0,2133000000.0,1.0,19.04729557037353,18.2625,1.0
8.0,1958400.0,726750000.0,2133000000.0,1.0,19.654128074646,19.464,20.0,9.0,4.0,9.0,0.15,45.0,1.0,8.0,2201600.0,522750000.0,2133000000.0,1.0,17.829855918884277,19.916,1.0
8.0,2201600.0,726750000.0,2133000000.0,1.0,17.304240226745605,20.968,21.0,9.0,4.0,9.0,0.15,45.0,1.0,4.0,2201600.0,522750000.0,3199000000.0,1.0,17.253727912902832,20.468,1.0
8.0,2201600.0,522750000.0,3199000000.0,1.0,17.048240661621094,21.7805,22.0,9.0,4.0,9.0,0.15,45.0,1.0,8.0,2201600.0,930750000.0,3199000000.0,1.0,16.1494722366333,21.817,1.0
8.0,2201600.0,930750000.0,3199000000.0,1.0,16.1494722366333,21.817,23.0,9.0,4.0,9.0,0.15,45.0,1.0,8.0,2201600.0,930750000.0,3199000000.0,1.0,16.1494722366333,21.817,1.0
8.0,2201600.0,930750000.0,3199000000.0,1.0,16.1494722366333,21.817,24.0,9.0,4.0,9.0,0.15,45.0,1.0,12.0,2201600.0,930750000.0,3199000000.0,1.0,15.914127826690674,23.32,1.0
8.0,2201600.0,1134750000.0,3199000000.0,1.0,16.151567459106445,24.0195,25.0,9.0,4.0,9.0,0.15,45.0,1.0,12.0,2201600.0,930750000.0,3199000000.0,1.0,15.914127826690674,23.32,1.0
8.0,2201600.0,1134750000.0,3199000000.0,1.0,16.151567459106445,24.0195,26.0,9.0,4.0,9.0,0.15,45.0,1.0,12.0,2201600.0,1134750000.0,3199000000.0,1.0,15.638911724090576,25.3735,1.0
8.0,2201600.0,1134750000.0,3199000000.0,1.0,16.151567459106445,24.0195,27.0,9.0,4.0,9.0,0.15,45.0,1.0,12.0,2201600.0,1300500000.0,3199000000.0,1.0,15.366144180297852,26.929,1.0
8.0,2201600.0,1134750000.0,3199000000.0,1.0,16.151567459106445,24.0195,28.0,9.0,4.0,9.0,0.15,45.0,1.0,12.0,2201600.0,1300500000.0,3199000000.0,1.0,15.366144180297852,26.929,1.0
8.0,2201600.0,1134750000.0,3199000000.0,1.0,16.151567459106445,24.0195,29.0,9.0,4.0,9.0,0.15,45.0,1.0,12.0,2201600.0,1300500000.0,3199000000.0,1.0,15.366144180297852,26.929,1.0
8.0,2201600.0,1134750000.0,3199000000.0,1.0,16.151567459106445,24.0195,30.0,9.0,4.0,9.0,0.15,45.0,1.0,12.0,2201600.0,1300500000.0,3199000000.0,1.0,15.366144180297852,26.929,1.0
8.0,2201600.0,1134750000.0,3199000000.0,1.0,16.151567459106445,24.0195,31.0,9.0,4.0,9.0,0.15,45.0,1.0,12.0,2201600.0,1300500000.0,3199000000.0,1.0,15.366144180297852,26.929,1.0
8.0,2201600.0,1134750000.0,3199000000.0,1.0,16.151567459106445,24.0195,32.0,9.0,4.0,9.0,0.15,45.0,1.0,12.0,2201600.0,1300500000.0,3199000000.0,1.0,15.366144180297852,26.929,1.0
8.0,2201600.0,1134750000.0,3199000000.0,1.0,16.151567459106445,24.0195,33.0,9.0,4.0,9.0,0.15,45.0,1.0,12.0,2201600.0,1300500000.0,3199000000.0,1.0,15.366144180297852,26.929,1.0
8.0,2201600.0,1134750000.0,3199000000.0,1.0,16.151567459106445,24.0195,34.0,9.0,4.0,9.0,0.15,45.0,1.0,12.0,2201600.0,1300500000.0,3199000000.0,1.0,15.366144180297852,26.929,1.0
8.0,2201600.0,1134750000.0,3199000000.0,1.0,16.151567459106445,24.0195,35.0,9.0,4.0,9.0,0.15,45.0,1.0,12.0,2201600.0,1300500000.0,3199000000.0,1.0,15.366144180297852,26.929,1.0
8.0,2201600.0,1134750000.0,3199000000.0,1.0,16.151567459106445,24.0195,36.0,9.0,4.0,9.0,0.15,45.0,1.0,12.0,2201600.0,1300500000.0,3199000000.0,1.0,15.366144180297852,26.929,1.0
8.0,2201600.0,1134750000.0,3199000000.0,1.0,16.151567459106445,24.0195,37.0,9.0,4.0,9.0,0.15,45.0,1.0,12.0,2201600.0,1300500000.0,3199000000.0,1.0,15.366144180297852,26.929,1.0
